accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score,Risk Index,Risk Category,Year,Month Number,Month Name
2627,Chandigarh,Punjab,30.715652,76.813682,30-Dec-22,09:00:00 PM,21,Friday,0,urban,2,1,fog,low,27,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2022,12,December
2911,Delhi,Delhi,28.58018,77.027861,15-Dec-23,11:00:00 PM,23,Friday,0,rural,5,0,fog,low,25,low,weather,minor,1,0,0,None,0.45,45,Moderate,2023,12,December
3143,Chennai,Tamil Nadu,12.966102,80.260969,11-Feb-22,02:00:00 PM,14,Friday,0,urban,4,0,fog,low,21,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2022,2,February
3481,Bangalore,Karnataka,12.89608,77.497843,16-May-22,04:00:00 AM,4,Monday,0,rural,4,0,fog,low,33,low,weather,minor,1,0,0,None,0.45,45,Moderate,2022,5,May
3666,Pune,Maharashtra,18.451091,73.844385,05-Jul-22,02:00:00 PM,14,Tuesday,0,rural,3,1,fog,low,24,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2022,7,July
3805,Chennai,Tamil Nadu,12.830031,80.145924,03-May-24,09:00:00 PM,21,Friday,0,urban,2,0,fog,low,17,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2024,5,May
3893,Bangalore,Karnataka,12.909255,77.540351,04-Nov-23,05:00:00 AM,5,Saturday,1,rural,1,1,fog,low,19,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2023,11,November
4324,Mumbai,Maharashtra,19.202765,72.923947,30-Jul-22,12:00:00 AM,0,Saturday,1,urban,5,1,fog,low,19,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2022,7,July
4395,Chennai,Tamil Nadu,12.890623,80.236131,24-Jun-24,11:00:00 PM,23,Monday,0,highway,4,0,fog,low,21,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2024,6,June
4417,Pune,Maharashtra,18.566875,73.860005,01-Apr-23,01:00:00 AM,1,Saturday,1,highway,5,1,fog,low,26,low,weather,minor,1,0,0,None,0.45,45,Moderate,2023,4,April
4688,Bangalore,Karnataka,12.905325,77.732749,06-May-22,11:00:00 AM,11,Friday,0,rural,5,1,fog,low,40,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2022,5,May
4825,Pune,Maharashtra,18.542429,73.92535,02-Jan-23,02:00:00 PM,14,Monday,0,urban,3,1,fog,low,29,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2023,1,January
4939,Chennai,Tamil Nadu,13.048128,80.262451,02-Dec-22,10:00:00 PM,22,Friday,0,urban,3,1,fog,low,15,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2022,12,December
5019,Kolkata,West Bengal,22.406219,88.456628,10-Jun-24,04:00:00 AM,4,Monday,0,urban,3,0,fog,low,25,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2024,6,June
5058,Chandigarh,Punjab,30.627233,76.7075,30-Oct-24,01:00:00 AM,1,Wednesday,0,urban,5,1,fog,low,24,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2024,10,October
5068,Kolkata,West Bengal,22.684922,88.218108,27-Aug-23,03:00:00 AM,3,Sunday,1,rural,1,1,fog,low,16,low,weather,minor,1,0,0,None,0.45,45,Moderate,2023,8,August
5157,Bangalore,Karnataka,12.94066,77.794878,05-Sep-23,03:00:00 PM,15,Tuesday,0,urban,5,0,fog,low,37,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2023,9,September
5204,Delhi,Delhi,28.787786,77.262303,06-May-23,07:00:00 AM,7,Saturday,1,highway,1,1,fog,low,22,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2023,5,May
5652,Chennai,Tamil Nadu,12.836164,80.270189,08-Oct-23,07:00:00 AM,7,Sunday,1,highway,6,1,fog,low,22,low,weather,minor,1,0,0,None,0.45,45,Moderate,2023,10,October
5749,Delhi,Delhi,28.593501,77.138053,07-Dec-24,06:00:00 AM,6,Saturday,1,highway,1,0,fog,low,38,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2024,12,December
5798,Mumbai,Maharashtra,19.082317,72.884263,06-Apr-22,02:00:00 PM,14,Wednesday,0,highway,6,1,fog,low,21,low,weather,minor,1,0,0,None,0.45,45,Moderate,2022,4,April
5856,Chennai,Tamil Nadu,12.809467,80.166282,26-Aug-23,03:00:00 AM,3,Saturday,1,urban,1,1,fog,low,30,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2023,8,August
6008,Chennai,Tamil Nadu,12.817928,80.195278,02-Oct-22,04:00:00 AM,4,Sunday,1,rural,6,0,fog,low,23,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2022,10,October
6099,Delhi,Delhi,28.495909,77.265569,07-Jun-22,04:00:00 AM,4,Tuesday,0,urban,5,0,fog,low,31,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2022,6,June
6138,Chennai,Tamil Nadu,12.842401,80.248851,18-Jan-23,03:00:00 AM,3,Wednesday,0,rural,4,0,fog,low,30,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2023,1,January
6215,Chennai,Tamil Nadu,13.115064,80.137086,22-Jul-22,07:00:00 AM,7,Friday,0,highway,1,1,fog,low,37,low,weather,minor,1,0,0,None,0.45,45,Moderate,2022,7,July
6230,Mumbai,Maharashtra,18.926901,72.971101,06-Oct-24,07:00:00 AM,7,Sunday,1,highway,6,0,fog,low,33,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2024,10,October
6308,Mumbai,Maharashtra,19.276265,72.790859,14-Oct-23,05:00:00 AM,5,Saturday,1,urban,6,1,fog,low,18,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2023,10,October
6342,Bangalore,Karnataka,13.196868,77.526797,08-Nov-24,06:00:00 AM,6,Friday,0,highway,5,1,fog,low,33,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2024,11,November
6353,Bangalore,Karnataka,12.910061,77.481705,04-Apr-22,04:00:00 AM,4,Monday,0,highway,4,0,fog,low,32,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2022,4,April
6425,Mumbai,Maharashtra,19.249612,72.945657,05-Jan-22,04:00:00 PM,16,Wednesday,0,highway,5,0,fog,low,22,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2022,1,January
6694,Mumbai,Maharashtra,19.170374,72.927325,17-Dec-23,03:00:00 AM,3,Sunday,1,urban,1,1,fog,low,26,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2023,12,December
6832,Mumbai,Maharashtra,18.859789,72.772882,12-Feb-23,02:00:00 AM,2,Sunday,1,urban,4,1,fog,low,20,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2023,2,February
6994,Hyderabad,Telangana,17.408228,78.415162,02-Feb-25,12:00:00 AM,0,Sunday,1,urban,5,0,fog,low,22,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2025,2,February
7025,Chennai,Tamil Nadu,12.838996,80.122011,29-Aug-24,12:00:00 AM,0,Thursday,0,rural,2,1,fog,low,21,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2024,8,August
7192,Hyderabad,Telangana,17.492868,78.464619,05-Jan-23,03:00:00 AM,3,Thursday,0,urban,1,0,fog,low,16,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2023,1,January
7233,Delhi,Delhi,28.736314,77.072075,18-Oct-24,02:00:00 PM,14,Friday,0,highway,6,1,fog,low,32,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2024,10,October
7527,Hyderabad,Telangana,17.272746,78.562085,13-Apr-25,03:00:00 PM,15,Sunday,1,rural,1,0,fog,low,24,low,weather,minor,1,0,0,None,0.45,45,Moderate,2025,4,April
7750,Chennai,Tamil Nadu,13.044704,80.25399,14-Dec-23,01:00:00 AM,1,Thursday,0,highway,1,0,fog,low,28,low,weather,minor,1,0,0,None,0.45,45,Moderate,2023,12,December
7819,Pune,Maharashtra,18.509195,73.920416,16-Mar-25,12:00:00 PM,12,Sunday,1,highway,4,1,fog,low,30,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2025,3,March
7987,Hyderabad,Telangana,17.352374,78.539456,14-Apr-25,11:00:00 AM,11,Monday,0,highway,1,0,fog,low,26,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2025,4,April
8234,Chandigarh,Punjab,30.780963,76.780905,22-Mar-25,04:00:00 PM,16,Saturday,1,rural,3,0,fog,low,24,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2025,3,March
8660,Kolkata,West Bengal,22.672075,88.440799,30-Jun-23,12:00:00 AM,0,Friday,0,urban,4,1,fog,low,22,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2023,6,June
8680,Kolkata,West Bengal,22.523484,88.41975,24-Feb-24,01:00:00 AM,1,Saturday,1,urban,4,1,fog,low,21,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2024,2,February
8683,Pune,Maharashtra,18.408536,73.947835,18-May-23,04:00:00 AM,4,Thursday,0,highway,6,1,fog,low,38,low,weather,minor,1,0,0,None,0.45,45,Moderate,2023,5,May
8710,Kolkata,West Bengal,22.404862,88.240219,21-Jun-22,12:00:00 AM,0,Tuesday,0,urban,2,0,fog,low,34,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2022,6,June
9172,Bangalore,Karnataka,12.887784,77.442579,23-Feb-23,04:00:00 AM,4,Thursday,0,highway,2,0,fog,low,32,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2023,2,February
9411,Chennai,Tamil Nadu,13.155266,80.145644,02-Oct-23,01:00:00 AM,1,Monday,0,rural,3,1,fog,low,15,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2023,10,October
9773,Chennai,Tamil Nadu,12.967332,80.104278,04-Nov-24,09:00:00 PM,21,Monday,0,highway,3,0,fog,low,25,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2024,11,November
9824,Mumbai,Maharashtra,18.919511,72.926724,02-Jan-22,12:00:00 PM,12,Sunday,1,highway,5,0,fog,low,19,low,weather,minor,1,0,0,None,0.45,45,Moderate,2022,1,January
10460,Bangalore,Karnataka,12.876662,77.45367,02-Jan-24,04:00:00 PM,16,Tuesday,0,rural,5,1,fog,low,36,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2024,1,January
10527,Mumbai,Maharashtra,18.988214,72.950788,04-Jan-22,03:00:00 PM,15,Tuesday,0,rural,6,0,fog,low,17,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2022,1,January
10651,Hyderabad,Telangana,17.435284,78.247287,26-Jul-23,12:00:00 AM,0,Wednesday,0,rural,4,0,fog,low,23,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2023,7,July
10686,Hyderabad,Telangana,17.209638,78.223511,13-Feb-24,01:00:00 PM,13,Tuesday,0,highway,6,1,fog,low,36,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2024,2,February
10738,Hyderabad,Telangana,17.576735,78.584622,19-Oct-24,03:00:00 AM,3,Saturday,1,highway,1,0,fog,low,31,low,weather,minor,1,0,0,None,0.45,45,Moderate,2024,10,October
10837,Kolkata,West Bengal,22.555712,88.394286,08-Mar-25,12:00:00 AM,0,Saturday,1,urban,4,1,fog,low,31,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2025,3,March
10881,Mumbai,Maharashtra,18.804025,72.922153,14-May-22,03:00:00 AM,3,Saturday,1,rural,1,0,fog,low,32,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2022,5,May
10952,Hyderabad,Telangana,17.390433,78.572847,29-May-24,01:00:00 AM,1,Wednesday,0,highway,6,1,fog,low,38,low,weather,minor,1,0,0,None,0.45,45,Moderate,2024,5,May
10978,Bangalore,Karnataka,13.147517,77.415279,10-Aug-23,05:00:00 AM,5,Thursday,0,urban,5,1,fog,low,20,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2023,8,August
11042,Bangalore,Karnataka,13.164358,77.642299,02-Aug-22,10:00:00 PM,22,Tuesday,0,urban,3,1,fog,low,17,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2022,8,August
11065,Chennai,Tamil Nadu,13.081496,80.105161,21-May-22,01:00:00 PM,13,Saturday,1,urban,4,0,fog,low,26,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2022,5,May
11103,Chandigarh,Punjab,30.705321,76.752944,08-Feb-23,10:00:00 PM,22,Wednesday,0,urban,6,0,fog,low,29,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2023,2,February
11179,Delhi,Delhi,28.575757,76.820504,05-Jun-24,06:00:00 AM,6,Wednesday,0,rural,3,1,fog,low,15,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2024,6,June
11213,Pune,Maharashtra,18.607055,73.975354,12-Jun-24,08:00:00 PM,20,Wednesday,0,urban,5,1,fog,low,21,low,weather,minor,1,0,0,None,0.45,45,Moderate,2024,6,June
11291,Kolkata,West Bengal,22.52477,88.365381,03-Jul-22,12:00:00 AM,0,Sunday,1,rural,2,0,fog,low,22,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2022,7,July
11295,Chennai,Tamil Nadu,12.997004,80.225573,15-Feb-25,07:00:00 AM,7,Saturday,1,urban,3,0,fog,low,33,low,weather,minor,1,0,0,None,0.45,45,Moderate,2025,2,February
11682,Mumbai,Maharashtra,18.878571,72.860749,26-Dec-24,06:00:00 AM,6,Thursday,0,rural,6,1,fog,low,39,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2024,12,December
11830,Pune,Maharashtra,18.465609,73.876594,11-Aug-24,01:00:00 AM,1,Sunday,1,rural,2,1,fog,low,21,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2024,8,August
11851,Mumbai,Maharashtra,18.957815,72.792349,06-Nov-24,02:00:00 AM,2,Wednesday,0,highway,1,0,fog,low,17,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2024,11,November
11874,Chandigarh,Punjab,30.626733,76.761321,10-Apr-22,05:00:00 AM,5,Sunday,1,urban,1,0,fog,low,29,low,weather,minor,1,0,0,None,0.45,45,Moderate,2022,4,April
11919,Kolkata,West Bengal,22.554703,88.420683,26-Nov-24,04:00:00 AM,4,Tuesday,0,rural,6,0,fog,low,20,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2024,11,November
12154,Pune,Maharashtra,18.573772,73.977916,10-Nov-23,03:00:00 AM,3,Friday,0,urban,4,1,fog,low,32,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2023,11,November
12213,Hyderabad,Telangana,17.573687,78.594933,22-Sep-22,11:00:00 PM,23,Thursday,0,urban,2,1,fog,low,36,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2022,9,September
12631,Mumbai,Maharashtra,19.090342,72.849041,18-Feb-25,02:00:00 PM,14,Tuesday,0,rural,5,0,fog,low,23,low,weather,minor,1,0,0,None,0.45,45,Moderate,2025,2,February
12632,Hyderabad,Telangana,17.396998,78.54386,15-Jan-25,12:00:00 AM,0,Wednesday,0,urban,4,1,fog,low,29,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2025,1,January
12666,Mumbai,Maharashtra,19.107768,72.863458,09-Nov-23,04:00:00 PM,16,Thursday,0,rural,2,1,fog,low,28,low,weather,minor,1,0,0,None,0.45,45,Moderate,2023,11,November
12943,Pune,Maharashtra,18.574868,73.960333,08-Feb-25,01:00:00 AM,1,Saturday,1,rural,2,0,fog,low,35,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2025,2,February
13144,Hyderabad,Telangana,17.404999,78.497537,28-Jun-22,10:00:00 PM,22,Tuesday,0,rural,2,1,fog,low,28,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2022,6,June
13216,Hyderabad,Telangana,17.531157,78.247531,04-Aug-24,10:00:00 PM,22,Sunday,1,highway,2,0,fog,low,40,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2024,8,August
13233,Delhi,Delhi,28.817438,76.826809,30-Mar-22,02:00:00 AM,2,Wednesday,0,urban,5,0,fog,low,29,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2022,3,March
13332,Chennai,Tamil Nadu,13.024471,80.114351,09-Sep-22,01:00:00 AM,1,Friday,0,highway,6,1,fog,low,19,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2022,9,September
13372,Kolkata,West Bengal,22.466666,88.45827,23-Aug-22,04:00:00 PM,16,Tuesday,0,highway,1,1,fog,low,29,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2022,8,August
13411,Chandigarh,Punjab,30.628238,76.839193,23-May-22,01:00:00 AM,1,Monday,0,urban,1,0,fog,low,33,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2022,5,May
13831,Pune,Maharashtra,18.582258,73.811252,29-Jul-23,11:00:00 AM,11,Saturday,1,highway,3,0,fog,low,38,low,weather,minor,1,0,0,None,0.45,45,Moderate,2023,7,July
13907,Bangalore,Karnataka,13.074516,77.582034,28-Apr-23,12:00:00 AM,0,Friday,0,rural,2,0,fog,low,30,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2023,4,April
14099,Chennai,Tamil Nadu,13.046763,80.11623,18-Dec-22,08:00:00 PM,20,Sunday,1,highway,6,0,fog,low,29,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2022,12,December
14150,Kolkata,West Bengal,22.480314,88.421,06-Jan-24,01:00:00 AM,1,Saturday,1,highway,6,0,fog,low,16,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2024,1,January
14199,Pune,Maharashtra,18.448401,73.8945,29-Apr-22,02:00:00 AM,2,Friday,0,highway,6,0,fog,low,25,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2022,4,April
14400,Mumbai,Maharashtra,19.181631,72.742699,11-May-24,03:00:00 AM,3,Saturday,1,highway,1,1,fog,low,31,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2024,5,May
14474,Kolkata,West Bengal,22.435754,88.32039,19-Sep-24,01:00:00 AM,1,Thursday,0,urban,1,0,fog,low,18,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2024,9,September
14491,Pune,Maharashtra,18.6406,73.780798,14-Apr-22,11:00:00 PM,23,Thursday,0,highway,2,1,fog,low,26,low,weather,minor,1,0,0,None,0.45,45,Moderate,2022,4,April
14588,Chennai,Tamil Nadu,12.915714,80.290729,14-Jan-22,05:00:00 AM,5,Friday,0,urban,5,0,fog,low,36,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2022,1,January
14829,Chandigarh,Punjab,30.677693,76.725466,10-Jan-25,04:00:00 AM,4,Friday,0,urban,5,1,fog,low,29,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2025,1,January
14851,Delhi,Delhi,28.459159,77.244508,28-Jan-25,08:00:00 PM,20,Tuesday,0,rural,2,1,fog,low,26,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2025,1,January
14908,Kolkata,West Bengal,22.522057,88.484733,13-Sep-24,04:00:00 AM,4,Friday,0,highway,5,0,fog,low,23,low,weather,minor,1,0,0,None,0.45,45,Moderate,2024,9,September
14926,Chandigarh,Punjab,30.743162,76.84929,25-Feb-24,04:00:00 PM,16,Sunday,1,highway,1,0,fog,low,16,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2024,2,February
14957,Mumbai,Maharashtra,18.834321,72.922573,20-Mar-23,01:00:00 AM,1,Monday,0,rural,2,0,fog,low,40,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2023,3,March
15192,Pune,Maharashtra,18.523016,73.791024,29-Sep-23,08:00:00 PM,20,Friday,0,rural,3,1,fog,low,19,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2023,9,September
15791,Hyderabad,Telangana,17.431862,78.425661,27-Aug-23,09:00:00 PM,21,Sunday,1,rural,1,0,fog,low,18,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2023,8,August
15882,Pune,Maharashtra,18.529342,73.840607,10-Jan-23,03:00:00 AM,3,Tuesday,0,urban,6,1,fog,low,30,low,weather,minor,1,0,0,None,0.45,45,Moderate,2023,1,January
15908,Delhi,Delhi,28.765493,77.015699,05-Nov-22,11:00:00 AM,11,Saturday,1,rural,1,0,fog,low,30,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2022,11,November
15942,Chandigarh,Punjab,30.757875,76.754091,30-Jun-23,01:00:00 AM,1,Friday,0,urban,4,0,fog,low,23,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2023,6,June
16112,Chennai,Tamil Nadu,12.84512,80.206861,06-Sep-24,04:00:00 PM,16,Friday,0,rural,4,0,fog,low,39,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2024,9,September
16156,Mumbai,Maharashtra,19.204264,72.899277,15-Oct-22,01:00:00 AM,1,Saturday,1,highway,1,1,fog,low,16,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2022,10,October
16351,Chandigarh,Punjab,30.767051,76.708904,05-Nov-23,04:00:00 PM,16,Sunday,1,urban,6,0,fog,low,37,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2023,11,November
16539,Chennai,Tamil Nadu,12.874424,80.27908,23-Sep-22,06:00:00 AM,6,Friday,0,rural,5,1,fog,low,25,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2022,9,September
16627,Chennai,Tamil Nadu,13.044436,80.130103,17-Jul-22,01:00:00 AM,1,Sunday,1,highway,6,0,fog,low,15,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2022,7,July
16793,Hyderabad,Telangana,17.352323,78.402597,26-Aug-22,01:00:00 AM,1,Friday,0,urban,3,0,fog,low,28,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2022,8,August
16862,Chandigarh,Punjab,30.778235,76.784324,08-Dec-23,12:00:00 AM,0,Friday,0,highway,4,1,fog,low,21,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2023,12,December
17024,Kolkata,West Bengal,22.619858,88.25771,03-Nov-23,05:00:00 AM,5,Friday,0,urban,3,0,fog,low,28,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2023,11,November
17086,Delhi,Delhi,28.899794,77.066805,31-Jan-25,04:00:00 AM,4,Friday,0,rural,1,1,fog,low,25,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2025,1,January
17152,Hyderabad,Telangana,17.225086,78.333428,12-Oct-23,09:00:00 PM,21,Thursday,0,highway,5,0,fog,low,15,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2023,10,October
17226,Bangalore,Karnataka,12.832344,77.510392,04-Jan-22,11:00:00 AM,11,Tuesday,0,urban,6,0,fog,low,19,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2022,1,January
17288,Pune,Maharashtra,18.555347,73.906353,02-Mar-24,07:00:00 AM,7,Saturday,1,urban,2,1,fog,low,29,low,weather,minor,1,0,0,None,0.45,45,Moderate,2024,3,March
17954,Chandigarh,Punjab,30.695316,76.87712,17-Apr-23,12:00:00 PM,12,Monday,0,highway,5,1,fog,low,27,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2023,4,April
17963,Chandigarh,Punjab,30.641073,76.736541,29-Sep-24,05:00:00 AM,5,Sunday,1,rural,1,1,fog,low,19,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2024,9,September
18023,Hyderabad,Telangana,17.238607,78.520997,10-Jul-23,09:00:00 PM,21,Monday,0,urban,4,0,fog,low,35,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2023,7,July
18167,Bangalore,Karnataka,12.828516,77.442987,14-Aug-24,04:00:00 AM,4,Wednesday,0,highway,4,0,fog,low,25,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2024,8,August
18399,Chennai,Tamil Nadu,13.19884,80.165682,24-Feb-22,01:00:00 AM,1,Thursday,0,urban,6,1,fog,low,21,low,weather,minor,1,0,0,None,0.45,45,Moderate,2022,2,February
18536,Chennai,Tamil Nadu,12.938726,80.155003,16-Dec-23,02:00:00 AM,2,Saturday,1,rural,2,0,fog,low,26,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2023,12,December
18786,Mumbai,Maharashtra,19.164986,72.939729,04-Feb-23,12:00:00 PM,12,Saturday,1,rural,3,1,fog,low,27,low,weather,minor,1,0,0,None,0.45,45,Moderate,2023,2,February
19185,Pune,Maharashtra,18.593842,73.94735,20-Jan-24,04:00:00 AM,4,Saturday,1,highway,6,0,fog,low,26,low,drunk driving,minor,1,0,0,None,0.45,45,Moderate,2024,1,January
19197,Kolkata,West Bengal,22.551139,88.417365,09-Oct-22,03:00:00 AM,3,Sunday,1,rural,3,1,fog,low,27,low,distraction,minor,1,0,0,None,0.45,45,Moderate,2022,10,October
19602,Chennai,Tamil Nadu,12.972979,80.213844,10-Aug-23,05:00:00 AM,5,Thursday,0,urban,6,0,fog,low,23,low,poor road,minor,1,0,0,None,0.45,45,Moderate,2023,8,August
19612,Chandigarh,Punjab,30.658255,76.793733,04-Dec-23,02:00:00 PM,14,Monday,0,urban,1,0,fog,low,21,low,weather,minor,1,0,0,None,0.45,45,Moderate,2023,12,December
19623,Delhi,Delhi,28.828644,77.171109,10-Apr-23,11:00:00 PM,23,Monday,0,urban,1,1,fog,low,34,low,overspeeding,minor,1,0,0,None,0.45,45,Moderate,2023,4,April
